chain_id,wallet_address,introduced_date,notes
solana-mainnet,8Cfc5eRTyHp5c9BDfL8KiXwA6cN76CNe29iPrr2CDTv5,2024-01-01,
solana-mainnet,7jntN6saH3f1CSLFPP1iqUBHmFENMZ9R3AAjjMmS7c5k,2024-01-01,
solana-mainnet,B5seb8BZw98JCuWnR2mU5P7LqBYsjDRhfh4hWx652ftr,2024-01-01,
solana-mainnet,A4FVui3fQGWjNYNvBUaq6ZKZcN55CrE5bcPFnqYZKtSZ,2024-01-01,
solana-mainnet,6WecYymEARvjG5ZyqkrVQ6YkhPfujNzWpSPwNKXHCbV2,2024-01-01,
solana-mainnet,8XkVWG3KaMznyYpWRrWmgFtQho5qtSK78n89o7h87ArS,2024-01-01,
solana-mainnet,GMn6Jn8DueDUtMcb4A7uewEQ2QAjrNwnEkcQwoKfJW83,2024-01-01,
solana-mainnet,wou7SXMTBada3Gks5zJ8c7NTFXWdhD8wNuQvLpam3Do,2024-01-01,
solana-mainnet,CrinMxBLjSyHCFDfmHfcaLGEnHSCGjPG7KpY57TjvPxa,2024-01-01,
solana-mainnet,9jcLQTNHKuW4jHgA2SgcutAtTA8YWBSNKm2jE68oNgSo,2024-01-01,
solana-mainnet,61vPoT6rMmSRhaXJmDWp6vZWRFxNphTZ3MA7tw8uoS4L,2024-01-01,
solana-mainnet,2LrFc5qEJwDJajh91Ecz3fxhZNYex4ZpqmDuCBSxPmh8,2024-01-01,
solana-mainnet,6Pq2pxZt1z9oKNk8kqueNfZWgQccFJauYaSSSdLtP64u,2024-01-01,
solana-mainnet,DTqsLMu4YNYXZouJpAtx7gRDDLi5JjN3QaQC2sBjfuxX,2024-01-01,
solana-mainnet,9QMmPorciu7LFBqwCs9q69tnmDczxEfJMev8Cv7KdBjU,2024-01-01,
solana-mainnet,9NAWfRXyQER4fwa1kXbVXTvjAm5EMuoBMDgRDzmLUi2e,2024-01-01,
solana-mainnet,C83WfbXwcMfv2nPEGPvQ7RrVxxstEoPyF1Ce6DWSGq5H,2024-01-01,
solana-mainnet,AB6VfpRRtVFSSo7K9SUbcwRVcqJv2bPxdEDaAJSAqS39,2024-01-01,
solana-mainnet,DJUN6LdnkWA6pS9EfDiWPMBfTCKRM72B2eCCCUm2VyU7,2024-01-01,
solana-mainnet,GZYDkGSux8xF8BZdswV3YgQukZ67gcgH7bHks1tgMLgT,2024-01-01,
solana-mainnet,3oBAsLVRhxB1UyjH1FKQ7VEJxxguHp3pBbRMvCerXqeM,2024-01-01,
solana-mainnet,Dz6ZrLBuqzgZGCaVjbrAgP4QPm2hiqhYmLr2JU6j9XqS,2024-01-01,
solana-mainnet,3csdFnAgEAGNnP1VXSev2zrq8aqcxZ714t6dyxJqBHj1,2024-01-01,
solana-mainnet,Bx24cZN1hrHVQc8UPqw3RfH4mEGCCP35ksLpnHP3fLFP,2024-01-01,
solana-mainnet,DCoFwFc8vroqnbtEV7HTybEiQWr4dqUSy2UPP9WDfvsQ,2024-01-01,
solana-mainnet,FheMbKe82kcm9fAt9vJeVM34Tc8Ns1LqwNkYLAVFEjHx,2024-01-01,
solana-mainnet,BbwYfiRo3JvDNMviK4WqvbmUpRKd3CqP2Z6hRZo4Lzua,2024-01-01,
solana-mainnet,6nGfnMoQWbUqdP7zbLTTbu96mjtufuXzdvQxHg3fWz8p,2024-01-01,
solana-mainnet,6E8g8VFKg3Ls9RvTt6NXTrJxThYWv2XopNw8NtUNRSn2,2024-01-01,
solana-mainnet,FUj4JV7WQU9fPrRp9iYkzvaZmpaVb7s3oMpFkywU48sF,2024-01-01,
solana-mainnet,J5LNxokoLWzycYJSetAEVVG9jCvyYtvSaKkUKsBEz5mP,2024-01-01,
solana-mainnet,5vZ2x2XREvpoKU15G8EgUGhyfpw4TcWXvEennJdosXiX,2024-01-01,
solana-mainnet,9USLh94JkMfYB3bGprUsY1g6RXkxHduqUa9AcREnKzot,2024-01-01,
solana-mainnet,3NLjmnN3pujDrdihAS9n8FqbJ1KL3NLwGmLLbuN6grfd,2024-01-01,
solana-mainnet,6iQKfEyhr3bZMotVkW6beNZz5CPAkiwvgV2CTje9pVSS,2024-01-01,
solana-mainnet,H5ThdkRSAkRP6GaK18Bh3ZwBc4cVt4wiyRsms3EipeqJ,2024-01-01,
solana-mainnet,HveQ522YXPYAdBXmoW5YSZ4mst7C3Zhy7x2ndG8oAZUe,2024-01-01,
solana-mainnet,8CsAFqTh75jtiYGjTXxCUbWEurQcupNknuYTiaZPhzz3,2024-01-01,
solana-mainnet,BCeczqpTRPigndHVJu1KEzno1Uhb4hjrE7ttmAndrV1p,2024-01-01,
solana-mainnet,BAwuyRQiPMTtr6REKYAU71pZXcQwpdgae6c1HFGsGi9E,2024-01-01,
solana-mainnet,H4vuA9WiGqW2LgDKBcnuJM2Hu6CQZzSsBERQz7MwkBFv,2024-01-01,
solana-mainnet,Df8Rmm7nPZAkENidu36LdMb7A92UBV9pGagLUftPkjnq,2024-01-01,
